to sign a petition,eine Petition unterschreiben
to go on a protest march,an einem Protestmarsch teilnehmen
to send out emails,E-Mails verschicken
to hand out leaflets,Flugblätter verteilen
to organise a meeting,eine Sitzung organisieren
to save water,Wasser sparen
to buy locally produced food,örtlich erzeugte Lebensmittel kaufen
to recycle glass bottles,Glasflaschen recyceln
Don't take plastic bags at your food store.,Nehmen Sie keine Plastiktüten in Ihrem Lebensmittelgeschäft.
Don't drop litter.,Werfen Sie keinen Müll weg.
Don't leave bottles or cans in the park.,Lassen Sie keine Flaschen oder Dosen im Park liegen.
Don't drive short distances.,Fahren Sie keine kurzen Strecken.

