come home after ten at the weekend,am Wochenende nach zehn nach Hause kommen
go roller-skating without pads,ohne Schutzkleidung Rollschuh laufen
have a party at home,eine Party zu Hause feiern
buy your own clothes,deine eigenen Klamotten kaufen
ride your bike without a helmet,ohne Helm Rad fahren
go to the disco,in die Disco gehen
wear earrings,Ohringe tragen
turn your music up really loud,deine Musik sehr laut aufdrehen
get a tattoo,sich tätowieren lassen
dye your hair,die Haare färben
hang out in shopping centres,in Einkaufszentren abhängen
eat too many sweets,zu viele Süßigkeiten essen
play video games all day,den ganzen Tag Videospiele spielen
use your parents' camcorder,den Camcorder deiner Eltern benutzen
watch TV after 10 o'clock,nach zehn Uhr fernsehen

